,summary,Wetterereignisse,Landwirtschaft,Energie,Stadt,word
das podcast-radio,1.9751509040384565,-0.0915447612685879,0.11589080702200147,0.019125498458591964,-0.04904779246288176,das podcast-radio
Wie,24.255933562264804,-0.9263192934799584,-2.3921256608691945,0.19396991261086838,-0.9185096241540119,Wie
podcast-radio wie,1.878952441045678,-0.04161436805799368,0.16582120023259544,0.0027790395865219366,0.000882600747712467,podcast-radio wie
gut,11.890009584615258,-0.9703651213603387,-1.679162907245329,0.22028328839005293,-1.844101506730212,gut
wie gut,1.8596320423851516,-0.03127860020648039,0.17615696808410874,-0.0007427535646367838,0.01121836859922566,wie gut
gut holz,1.8239103996208799,-0.011882726156994228,0.19555284213359497,-0.0074852345858727205,0.03061424264871184,gut holz
holz heizen,2.1485617120504847,-0.17569860586552397,0.03173696242506525,0.044363962876277654,-0.13320163705981802,holz heizen
wirklich,3.6477958786484277,-0.7050230750550164,-0.49758750676442726,0.15471448931984114,-0.6625261062493103,wirklich
heizen wirklich,1.7776625507160204,0.013800713692976151,0.22123628198356524,-0.016690149253955344,0.05629768249868224,heizen wirklich
eignet,1.7578463346526663,0.025010655016181358,0.23244622330677056,-0.02080985484340667,0.06750762382188735,eignet
wirklich eign,1.7578463346526663,0.025010655016181358,0.23244622330677056,-0.02080985484340667,0.06750762382188735,wirklich eign
steht,11.938380739282193,-1.0469941843213844,-1.6832228727278906,0.10008124819270284,0.2405973562242314,steht
eign steh,1.7427932663137022,0.03361088973719431,0.2410464580277835,-0.02401364700117873,0.07610785854290035,eign steh
Frage,3.366261581752383,-0.6247027644143317,-0.41726719612374236,0.14211282865684333,-0.5822057956086256,Frage
steh frage,1.7280922175545987,0.0420820056753939,0.2495175739659831,-0.027206586180276382,0.08457897448109986,steh frage
Klimabilanz,1.7179776346880418,0.04795223602219603,0.25538780431278524,-0.02944117354540067,0.09044920482790209,Klimabilanz
frage klimabilanz,1.7179776346880418,0.04795223602219603,0.25538780431278524,-0.02944117354540067,0.09044920482790209,frage klimabilanz
Feinstaubbelastung,1.6982197845057707,0.059519524478278366,0.2669550927688676,-0.03389788787129994,0.1020164932839843,Feinstaubbelastung
klimabilanz feinstaubbelastung,1.6982197845057707,0.059519524478278366,0.2669550927688676,-0.03389788787129994,0.1020164932839843,klimabilanz feinstaubbelastung
kritisiert,4.745755112766115,-0.9681505167499774,-0.7607149484593883,0.18876909319204113,-0.9256535479442713,kritisiert
feinstaubbelastung kritisier,1.6732313454448098,0.07434334703300066,0.2817789153235899,-0.03971498651052619,0.1168403158387067,feinstaubbelastung kritisier
Bulgarien,2.5301897232280246,-0.3391942480723525,-0.1317586797817632,0.08628863124907706,-0.2966972792666464,Bulgarien
Russland,31.898612297997154,-0.29488325139577587,-2.666026897650101,0.16433230145016822,-1.701190572258147,Russland
bulgarien russland,1.6194727651305105,0.10699939862407495,0.3144349669146642,-0.05296367403867651,0.14949636742978115,bulgarien russland
nutzt,2.762433503014951,-0.4270119539736454,-0.21957638568305624,0.10553599468202202,-0.38451498516793947,nutzt
russland nutz,2.2553677339770357,-0.22421299332005162,-0.016777425029462584,0.05771741629194854,-0.1817160245143457,russland nutz
Erdgas,16.23227421049129,-2.197901454311367,-1.9904658860207778,0.19393936050453148,-0.23355626378973246,Erdgas
nutz erdgas,1.6257484236692819,0.10313176310921202,0.31056733139980125,-0.051362570591704154,0.14562873191491815,nutz erdgas
politische,1.6307592048980442,0.10005436501604928,0.3074899333066385,-0.05009484167273723,0.14255133382175553,politische
erdgas politisch,1.6307592048980442,0.10005436501604928,0.3074899333066385,-0.05009484167273723,0.14255133382175553,erdgas politisch
Waffe,1.6361669988923724,0.09674373074013176,0.3041792990307211,-0.04873716391424766,0.1392406995458379,Waffe
politisch waffe,1.6361669988923724,0.09674373074013176,0.3041792990307211,-0.04873716391424766,0.1392406995458379,politisch waffe
Europa,16.764417712790056,-0.3836678586714803,-2.0227230374387637,0.09838728346705854,-0.18434699883180408,Europa
waffe europa,1.6403805551041937,0.09417178056081647,0.30160734885140555,-0.04768678089540987,0.13666874936652257,waffe europa
27.04.2022,1.6484069958249876,0.08929067679084793,0.2967262450814371,-0.04570376435453929,0.13178764559655382,27.04.2022
europa 27.04.2022,1.6484069958249876,0.08929067679084793,0.2967262450814371,-0.04570376435453929,0.13178764559655382,europa 27.04.2022
Prozent,41.16539918361695,-0.6209831832174987,-2.9210624682997017,0.18117781175877767,-1.1244167004530692,Prozent
27.04.2022 prozent,1.6574088725985388,0.0838445785316236,0.29128014682221276,-0.043507200916032766,0.12634154733732963,27.04.2022 prozent
Erdgases,2.244631162610846,-0.21944117359929471,-0.012005605308705428,0.05644025078747843,-0.1769442047935884,Erdgases
prozent erdgas,1.6660627243743902,0.07863684855327484,0.2860724168438642,-0.04142240492282487,0.12113381735898085,prozent erdgas
erdgas bulgarien,1.6152288631479457,0.1096233837116068,0.317058952002196,-0.05405493689116851,0.15212035251731285,erdgas bulgarien
kamen,2.310192633094434,-0.2482308707331395,-0.04079530244255033,0.0640300038335094,-0.20573390192743338,kamen
bulgarien komm,1.684823495998333,0.06743923310541444,0.2748748013960035,-0.03699076206467027,0.10993620191112052,bulgarien komm
komm russland,1.6194727651305105,0.10699939862407495,0.3144349669146642,-0.05296367403867651,0.14949636742978115,komm russland
Gazprom,8.052938553052966,-1.496937021193069,-1.28950145290248,0.2334389060953923,-1.454440052387363,Gazprom
russland gazprom,1.7113464347893177,0.05181959182135881,0.2592551601119481,-0.030923273797014077,0.09431656062706498,russland gazprom
Lieferung,2.0681888484154536,-0.13757323055295512,0.06986233773763405,0.033271092943859645,-0.09507626174724901,Lieferung
gazprom lieferung,1.7280922175545987,0.0420820056753939,0.2495175739659831,-0.027206586180276382,0.08457897448109986,gazprom lieferung
stoppte,1.7445631167847877,0.03259587983937514,0.24003144812996446,-0.023633559629410807,0.07509284864508124,stoppte
lieferung stopp,1.7445631167847877,0.03259587983937514,0.24003144812996446,-0.023633559629410807,0.07509284864508124,lieferung stopp
Energieexperten,2.3286574819730044,-0.25619187224939505,-0.04875630395880566,0.06608056010164068,-0.21369490344368883,Energieexperten
kritisieren,2.3852286895050137,0.9286707582964753,-0.07275939676409984,-0.2925240701857664,-0.237697996248983,kritisieren
energieexperte kritisier,1.8015363060985543,0.00046023701039680387,0.20789580530098592,-0.011868868120680807,0.04295720581610288,energieexperte kritisier
EU-Land,2.9860676467934013,-0.5048573122395308,-0.2974217439489415,0.12097040542425362,-0.4623603434338246,EU-Land
kritisier eu-land,1.8642280096917963,-0.03374699030490211,0.17368857798568704,0.00010276433835546804,0.008749978500803782,kritisier eu-land
sei,14.892167334304704,0.10163682286837926,-1.904299782906331,-0.001118880712340042,0.02426739485653991,sei
eu-land sei,2.0869170166271465,-0.14658782399304754,0.06084774429754156,0.03594350245715318,-0.10409085518734155,eu-land sei
sehenden,1.9341085975332157,-0.07054650595613762,0.13688906233445167,0.012382689565772714,-0.028049537150431625,sehenden
sei sehend,1.9341085975332157,-0.07054650595613762,0.13688906233445167,0.012382689565772714,-0.028049537150431625,sei sehend
Auges,2.0163633941899404,-0.11219554774596362,0.09524002054462562,0.025577357679958352,-0.06969857894025766,Auges
sehend auge,2.0163633941899404,-0.11219554774596362,0.09524002054462562,0.025577357679958352,-0.06969857894025766,sehend auge
russischem,7.927623425973579,-1.4812532553793385,-1.2738176870887494,0.23244745085142404,-1.4387562865736323,russischem
auge russisch,2.1826634127103253,-0.19144583874907103,0.015989729541518123,0.04878929710674869,-0.14894886994336498,auge russisch
russisch gas,40.29837516484487,-1.5656108279834178,-2.899775540085332,0.2285476530040889,-1.065684659552415,russisch gas
abhängig,7.157974993560979,-0.20828082402500228,-1.1716915092781874,0.13925365034129775,-1.3366301087630705,abhängig
gas abhängig,6.36179076144624,-1.2612098627111192,-1.05377429442053,0.21663370834636517,-1.218712893905413,gas abhängig
gemacht,7.158193102382863,-1.379157547848315,-1.1717219795577258,0.225572061221511,-1.336660579042609,gemacht
abhängig mach,2.1381144526858202,-0.17082430249026218,0.036611265800327,0.042975958276845146,-0.1283273336845561,abhängig mach
worden,8.77894497210719,0.5244017322069876,-1.3758206282324663,-0.10031271474464537,-0.10296806510109827,worden
mach werd,2.0163633941899404,-0.11219554774596362,0.09524002054462562,0.025577357679958352,-0.06969857894025766,mach werd
Polen,3.8214784808117033,-0.751537343327038,-0.5441017750364489,0.16149655747054806,-0.709040374521332,Polen
polen bulgarien,2.1766278044066416,-0.18867675916262913,0.018758809127960064,0.048017573619233166,-0.14617979035692305,polen bulgarien
nächsten,5.718469676305087,0.3809348493394321,-0.9471656209249415,-0.06968823204933845,-0.02075114360302262,nächsten
bulgarien nächster,1.9201068676122566,-0.0632808034317327,0.14415476485885653,0.010005593400363019,-0.020783834626026745,bulgarien nächster
Winter,42.09653660193564,-0.7207813081045756,-2.9434298617527355,0.2048888518880223,-1.725656968546876,Winter
nächster winter,2.49453894432709,-0.3250038790007919,-0.11756831071020273,0.08297958917338959,-0.2825069101950857,nächster winter
russisches,15.595001819468369,-2.1578504254560396,-1.9504148571654505,0.18909956531989686,-0.18772856961572182,russisches
winter russisch,2.1826634127103253,-0.19144583874907103,0.015989729541518123,0.04878929710674869,-0.14894886994336498,winter russisch
auskommen,2.450898158779968,-0.30735451152364535,-0.09991894323305613,0.07878215844938422,-0.2648575427179394,auskommen
gas auskomm,2.450898158779968,-0.30735451152364535,-0.09991894323305613,0.07878215844938422,-0.2648575427179394,gas auskomm
Euronews,2.559507190268557,-0.35071469488518897,-0.1432791265945999,0.08893287191163128,-0.3082177260794829,Euronews
auskomm euronews,2.0840768863576487,-0.14522597558256925,0.06220959270801995,0.03554177688610763,-0.10272900677686311,auskomm euronews
euronews die,1.9751509040384565,-0.0915447612685879,0.11589080702200147,0.019125498458591964,-0.04904779246288176,euronews die
Entscheidung,7.732342435608449,-0.6514801149536668,-1.2488762389035937,0.18759615514578998,-1.4138148383884768,Entscheidung
die entscheidung,1.9415752331345753,-0.07439957817005258,0.13303599012053668,0.013634023896159867,-0.031902609364346614,die entscheidung
entscheidung gazprom,2.1381144526858202,-0.17082430249026218,0.036611265800327,0.042975958276845146,-0.1283273336845561,entscheidung gazprom
Gashahn,8.523149869430826,-1.5536859342290514,-1.3462503659384624,0.15691788142912655,-0.0388203594344499,Gashahn
gazprom gashahn,2.8543974268777212,-0.4597607206712474,-0.252325152380658,0.11220500707721681,-0.4172637518655413,gazprom gashahn
abzudrehen,2.268931197682108,-0.23020884131507763,-0.022773273024488276,0.05931128440491438,-0.18771187250937135,abzudrehen
gashahn abdreh,3.4269456307754256,-0.642569336530978,-0.4351337682403889,0.013853579917867979,0.48875160248648103,gashahn abdreh
vorerst,2.904074216107594,-0.477014611873165,-0.26957904358257584,0.11561453097900633,-0.43451764306745894,vorerst
abdreh vorerst,1.9751509040384565,-0.0915447612685879,0.11589080702200147,0.019125498458591964,-0.04904779246288176,abdreh vorerst
Verbraucher,19.475295818501333,-0.8596515916072993,-2.172611171730629,0.137523521257377,-0.14691242191341258,Verbraucher
vorerst verbraucher,1.8596320423851516,-0.03127860020648039,0.17615696808410874,-0.0007427535646367838,0.01121836859922566,vorerst verbraucher
treffen,6.1978418844857766,-1.2351011070348876,-1.0276655387442986,0.13512514160447073,0.022785625872444423,treffen
verbraucher treff,1.8138402092394703,-0.006346219019723016,0.20108934927086627,-0.009442473581411438,0.03615074978598313,verbraucher treff
Industrie,13.655005674182387,-0.48340584879818177,-1.817570560900096,0.10755805216373371,-0.17502539823368807,Industrie
treff industrie,1.7598834615098404,0.023852449467181996,0.23128801775777125,-0.020381275967425883,0.06634941827288804,treff industrie
industrie polen,1.780091514076653,0.012435265888666697,0.2198708341792559,-0.016192638262110096,0.05493223469437286,industrie polen
EuropeDecoded,1.7051485704636427,0.055447796232682665,0.262883364523272,-0.03232095507415267,0.0979447650383887,EuropeDecoded
europedecoded nan,1.689737853350487,0.06452664073116555,0.2719622090217548,-0.03584934867456616,0.10702360953687161,europedecoded nan
Gasversorgung,22.7645438866624,-1.7386011586508432,-2.3286686232941896,0.25946322274051126,-2.4936072227790724,Gasversorgung
Mittelstand,2.832477710505615,-0.4520518034205197,-0.24461623512993044,-0.28091718734399457,1.2291418151201978,Mittelstand
gasversorgung mittelstand,2.068651390068485,-0.1377968513013011,0.06963871698928809,0.03333776477522412,-0.09529988249559512,gasversorgung mittelstand
Wir,16.135126237791415,0.045574610990254255,0.44285992296579135,0.0890395980370082,-2.1494016392421544,Wir
mittelstand wir,1.9269598120672218,-0.06684349276057833,0.14059207553001074,0.011174051101156017,-0.02434652395487226,mittelstand wir
bereiten,3.953582924127158,0.7324490172244315,-0.5780866276091744,-0.43056194461096764,0.8010559881108815,bereiten
wir bereit,1.9011327474870015,-0.05334985014017328,0.154085718150416,0.006719159965345995,-0.010852881334467263,wir bereit
GAU,1.9135298351898131,-0.05984957643496145,0.1475859918556277,0.008875010487685558,-0.017352607629255504,GAU
bereit gau,1.9135298351898131,-0.05984957643496145,0.1475859918556277,0.008875010487685558,-0.017352607629255504,bereit gau
gau das,1.984633053682739,-0.0963339961711357,0.11110157211945347,0.020637404576990447,-0.053837027365429606,gau das
Ende,9.090695968115284,-1.6181514281338967,-1.4107158598433074,0.16901444016204897,-0.1331469024329323,Ende
das ende,2.2679835418481673,-0.22979108788477143,-0.0223555195941823,0.05920062512278946,-0.18729411907906537,das ende
russischen,12.538236482163283,0.10191530845079447,-1.7322472843445231,0.10708130567350986,-1.8971858838294062,russischen
ende russisch,2.1826634127103253,-0.19144583874907103,0.015989729541518123,0.04878929710674869,-0.14894886994336498,ende russisch
Gaslieferungen,18.33544262530528,-2.319735900962031,-2.112300332671442,0.26799146756141173,-2.277238932156325,Gaslieferungen
russisch gaslieferung,10.28620949958015,-1.7417040733205829,-1.5342685050299938,0.24695790348428026,-1.6992071045148769,russisch gaslieferung
Schreckensszenario,2.6764004652929096,-0.395372740503095,-0.18793717221250586,0.09883752899049991,-0.3528757716973891,Schreckensszenario
gaslieferung schreckensszenario,1.9946291463582357,-0.1013581002383925,0.10607746805219676,0.022213258337518322,-0.05886113143268643,gaslieferung schreckensszenario
schreckensszenario industrie,1.846671064949042,-0.024284552555902762,0.18315101573468634,-0.003153770002612158,0.018212416249803205,schreckensszenario industrie
Energieintensive,1.807538730617628,-0.002866061275105112,0.20456950701548407,-0.010680296085872433,0.03963090753060093,Energieintensive
Unternehmen,20.003302229148584,-1.6370171021489908,-2.1993617618177326,0.23648949828567223,-1.2816874997309222,Unternehmen
energieintensiv unternehmen,1.7640733614549227,0.02147449642749128,0.22891006471808054,-0.019503473257600042,0.06397146523319745,energieintensiv unternehmen
Gießereien,1.734367666594465,0.0384571515998371,0.24589271989042633,-0.025835743385874584,0.08095412040554315,Gießereien
unternehmen gießerei,1.734367666594465,0.0384571515998371,0.24589271989042633,-0.025835743385874584,0.08095412040554315,unternehmen gießerei
Stahlwalzwerke,1.7126364306732567,0.05106608574632192,0.25850165403691117,-0.030633882714020132,0.09356305455202803,Stahlwalzwerke
gießerei stahlwalzwerk,1.7126364306732567,0.05106608574632192,0.25850165403691117,-0.030633882714020132,0.09356305455202803,gießerei stahlwalzwerk
planen,1.6949438518827746,0.06145042672283398,0.2688859950134233,-0.034648824754581885,0.10394739552854006,planen
stahlwalzwerk plan,1.6949438518827746,0.06145042672283398,0.2688859950134233,-0.034648824754581885,0.10394739552854006,stahlwalzwerk plan
Ernstfall,2.3944376006972687,-0.28404833975827587,-0.07661277146768675,-0.17602294512884784,0.9519857453551476,Ernstfall
plan ernstfall,1.6801744778523062,0.07020239738671351,0.2776379656773027,-0.0380779042480397,0.11269936619241963,plan ernstfall
G7-Treffen,1.6336563882764483,0.09827935564216253,0.3057149239327516,-0.04936612943242259,0.14077632444786864,G7-Treffen
Energie-,7.401710752353853,1.0837409866153451,-1.2051755466777392,-0.2820033378794322,-1.3701141461626223,Energie-
g7-treffe energie-,1.641474155764234,0.0935053277182233,0.3009408960088124,-0.04741522189234193,0.13600229652392914,g7-treffe energie-
Klimaminister,1.6490154183090489,0.08892164764350047,0.29635721593408965,-0.045554393620882594,0.13141861644920644,Klimaminister
energie- klimaminister,1.6490154183090489,0.08892164764350047,0.29635721593408965,-0.045554393620882594,0.13141861644920644,energie- klimaminister
Trotz,9.522274382465143,-0.06932538463760822,-1.4570981164266839,0.031791579822500145,-0.0013355440759161654,Trotz
klimaminister trotz,1.658786263895827,0.08301387266553116,0.2904494409561204,-0.043173626516380646,0.12551084147123723,klimaminister trotz
Klimaversprechen,1.66307102177136,0.08043413495657398,0.2878697032471632,-0.042140190323251954,0.12293110376228011,Klimaversprechen
trotz klimaversprechen,1.66307102177136,0.08043413495657398,0.2878697032471632,-0.042140190323251954,0.12293110376228011,trotz klimaversprechen
geht,14.145929071413066,-0.2445568271928377,-1.8528912749985558,0.11420386890973817,-0.5981585625419815,geht
klimaversprechen geh,1.676630694042862,0.07231380090553408,0.27974936919612325,-0.03891144416707017,0.11481076971124014,klimaversprechen geh
fossile,2.1132861883077214,-0.15914412988674667,0.04829143840384253,0.0396142841054442,-0.11664716108104056,fossile
geh fossil,1.684823495998333,0.06743923310541444,0.2748748013960035,-0.03699076206467027,0.10993620191112052,geh fossil
Party,1.692824621722748,0.0627015337290939,0.27013710201968294,-0.035136462695752664,0.10519850253479988,Party
fossil party,1.692824621722748,0.0627015337290939,0.27013710201968294,-0.035136462695752664,0.10519850253479988,fossil party
DER,9.876807159529115,-1.7010892562670052,-1.4936536879764164,0.2449488334097302,-1.6585922874612993,DER
party der,1.7100737475749797,0.05256354445225592,0.2599991127428452,-0.031209292075450545,0.09506051325796193,party der
SPIEGEL,9.998238080218478,-1.7133088442185613,-1.505873275927972,0.2455623256238387,-1.6708118754128551,SPIEGEL
der spiegel,9.998238080218478,-1.7133088442185613,-1.505873275927972,0.2455623256238387,-1.6708118754128551,der spiegel
spiegel die,2.2619421438806318,-0.22712375867518422,-0.019688190384595024,0.05849269199818297,-0.18462678986947814,spiegel die
G7-Klimaminister,1.7327620800557775,0.03938332787288336,0.24681889616347277,-0.02618535255767362,0.08188029667858966,G7-Klimaminister
die g7-klimaminister,1.7327620800557775,0.03938332787288336,0.24681889616347277,-0.02618535255767362,0.08188029667858966,die g7-klimaminister
bekennen,1.7640733614549227,0.02147449642749128,0.22891006471808054,-0.019503473257600042,0.06397146523319745,bekennen
g7-klimaminister bekenn,1.7640733614549227,0.02147449642749128,0.22891006471808054,-0.019503473257600042,0.06397146523319745,g7-klimaminister bekenn
starken,4.682822677935015,0.4561834030442187,-0.7473654548625617,-0.28356185530486744,0.7739717692387738,starken
bekenn stark,1.807538730617628,-0.002866061275105112,0.20456950701548407,-0.010680296085872433,0.03963090753060093,bekenn stark
Klimazielen,1.8348133704881922,-0.017842729604454866,0.18959283868613447,-0.005394595026574444,0.02465423920125119,Klimazielen
stark klimaziel,1.8348133704881922,-0.017842729604454866,0.18959283868613447,-0.005394595026574444,0.02465423920125119,stark klimaziel
befördern,1.9269598120672218,-0.06684349276057833,0.14059207553001074,0.011174051101156017,-0.02434652395487226,befördern
klimaziel beförder,1.9269598120672218,-0.06684349276057833,0.14059207553001074,0.011174051101156017,-0.02434652395487226,klimaziel beförder
